Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
82440	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
82441	VI01	CRISTY WELSH	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
82442	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
82443	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
82444	VI01	CRISTY WELSH	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
82445	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote	undervote	undervote
82446	VI01	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
82447	VI01	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
82448	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
82449	VI02	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
82450	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82451	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
82452	VI01	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE
82453	VI02	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE
82454	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82455	VI02	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE
82456	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
82457	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
82458	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
82459	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
82460	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
82461	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
82462	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote
82463	VI01	overvote	undervote	undervote	undervote	undervote	undervote	undervote
82464	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
82465	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote	undervote
82466	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote	overvote
82467	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
82468	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
82469	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote
82470	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote
82471	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	undervote	undervote	undervote
82472	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82473	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	undervote
82474	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
82475	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
82476	VI01	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82477	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82478	VI02	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82479	VI01	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
82480	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
82481	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
82482	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
82483	VI01S	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82484	VI01S	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82485	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
82486	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote
82487	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
82488	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82489	VI01	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	undervote	undervote	undervote
82490	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	undervote	undervote
82491	VI02	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82492	VI01	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS
82493	VI02	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	DAVID LAURET
82494	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS
82495	VI01	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
82496	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
82497	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
82498	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
82499	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
82500	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82501	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote	undervote
82502	VI01	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	undervote
82503	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
82504	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
82505	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
82506	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
82507	VI02	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82508	VI02	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82509	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
82510	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
82511	VI01	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE
82512	VI02	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
82513	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER
82514	VI02	ANTHONY JENKINS	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET
82515	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82516	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
82517	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82518	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
82519	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	undervote	undervote	undervote
82520	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote
82521	VI01	KEITH KUDER	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
82522	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote	undervote	undervote	KEITH KUDER
82523	VI01	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
82524	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
82525	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	KEITH KUDER
82526	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
82527	VI01	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH
82528	VI01	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE
82529	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
82530	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
82531	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
82532	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
82533	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82534	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
82535	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82536	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	DAVID LAURET	ANTHONY JENKINS
82537	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	DAVID LAURET	ANTHONY JENKINS
82538	VI02	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
82539	VI02	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote
82540	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82541	VI01	undervote	undervote	undervote	undervote	undervote	undervote	overvote
82542	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
82543	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
82544	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
82545	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	DAVID LAURET
82546	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82547	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote	undervote
82548	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
82549	VI01	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
82550	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
82551	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
82552	VI02	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
82553	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82554	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82555	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
82556	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
82557	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	undervote	undervote	undervote	undervote
82558	VI02	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	DAVID LAURET	undervote	undervote
82559	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH	KEITH KUDER
82560	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
82561	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
82562	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote
82563	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote
82564	VI01	ANTHONY JENKINS	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
82565	VI01	ANTHONY JENKINS	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	undervote	undervote
82566	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
82567	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS
82568	VI01S	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
82569	VI01S	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
82570	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
82571	VI01	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
82572	VI02	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
82573	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
82574	VI01	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
82575	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	undervote	undervote	undervote	undervote
82576	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
84792	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84793	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
84794	VI01	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84795	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
84796	VI01	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
84797	VI01	DAVID LAURET	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
84798	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
84799	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote
84800	VI01	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote	undervote	undervote
84801	VI01	overvote	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
84802	VI01S	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER
84803	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
84804	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
84805	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
84806	VI01	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
84807	VI01	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
84808	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
84809	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
84810	VI01	HECTOR RAFAEL HERNANDEZ	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	undervote	CRISTY WELSH	overvote
84811	VI01	DAVID LAURET	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
84812	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON
84813	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	undervote	undervote	undervote	undervote
84814	VI01	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
84815	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON
84816	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote
84817	VI01	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote
84818	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
84819	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
84820	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON
84821	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE
84822	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
84823	VI01	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER
84824	VI02	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
84825	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	undervote	overvote	KEITH KUDER
84826	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote	undervote
84827	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
84828	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER
84829	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84830	VI01	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
84831	VI01	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
